pos_x,pos_y,Estimated X,Estimated Y,error_dist,error_direction
-7.408589,-20.403965,-8.355116378293783,-19.15795917356763,1.6108068,3.8545928
-6.927063,-21.63418,-8.123389701527286,-20.86323884600117,1.4972023,3.7420077
-6.529716,-22.917919,-7.713004594881361,-21.87621736787965,1.7233858,4.2858796
-6.11826,-24.167683,-7.190290972663028,-23.07959105185058,1.5999032,4.1606026
-5.710124,-25.201967,-6.823684858459823,-24.24420403484185,1.7341708,3.3767004
-5.574329,-25.454483,-6.770666522215226,-25.26280846728203,1.2206088,2.5234265
-5.589923,-25.482021,-6.925224042024071,-25.22846444237935,1.4727373,3.2362566
-5.586988,-25.487444,-6.943857193281744,-25.26887455670801,1.5531826,3.2114425
-5.582051,-25.492508,-6.939386073019451,-25.26266041342844,1.57061,3.2341514
-5.582977,-25.489784,-6.933683440191603,-25.26483834150362,1.5737519,3.1470332
-5.583701,-25.489294,-6.936247943003076,-25.26857540709315,1.5836295,3.321341
-5.598053,-25.525623,-6.936005459981027,-25.32137702052412,1.5403346,3.1852484
-5.395449,-26.144527,-6.371684566680332,-25.6010669837013,1.1069236,2.8885095
-4.799645,-27.181564,-6.176138426844017,-25.66766432874063,2.2439542,3.630959
-3.61071,-27.390772,-5.077635924162728,-26.78837434260207,1.654819,3.6418042
-2.423563,-26.985394,-2.72649749016167,-27.12833201138992,0.23772047,0.36147234
-1.170573,-26.509291,-1.401588262275045,-26.73769852063975,0.24238972,0.09520932
0.086882,-26.149137,-0.04876522480298418,-26.42477931258286,0.27037793,0.14567323
1.373417,-25.775549,1.155416887272199,-26.24268156871909,0.4598946,0.13268092
2.581434,-25.351614,2.388180793755275,-25.91799812236957,0.5461828,0.09713703
3.727558,-24.841833,3.411009827910701,-25.5122077235177,0.6825875,0.11610008
4.655075,-24.366039,4.666276250417993,-24.82931982707554,0.5035105,0.42441148
4.856634,-24.308832,5.633540779090458,-23.55388128042997,1.2184615,2.419818
4.854548,-24.311945,6.089340854183872,-23.71157099342246,1.55047,3.2637758
4.855786,-24.312807,6.070646611596182,-23.67913408378604,1.5522407,3.450684
4.8641,-24.313383,6.054195918601771,-23.65223810389465,1.5268686,3.5462494
4.868389,-24.311117,6.073499001991744,-23.66799524711779,1.5278512,3.707016
4.869998,-24.306103,6.079444884708939,-23.67049294186377,1.5592827,3.317202
4.950339,-24.323093,6.075050930687895,-23.66941799115289,1.5286804,2.9961576
5.68771,-24.098375,5.812453648830183,-23.72919851570105,0.28768468,2.305512
6.845374,-23.713953,6.135065829907679,-23.42251470533569,0.505105,1.4933901
7.720759,-22.735888,7.185211723058884,-22.99171483513653,1.0882299,1.1758511
7.741187,-21.408503,8.439681988039599,-21.85890555068808,0.9579788,1.4342711
7.418924,-20.166281,8.435781485549246,-20.49839309299492,1.074461,1.4898155
7.003278,-18.963781,8.158735503870428,-19.66958370503048,1.3688064,2.4214702
6.596471,-17.741266,7.527277836980419,-18.79556322611695,1.4879624,1.213903
6.166352,-16.456356,7.250995826737778,-17.38403161468685,1.5881133,1.6734185
5.730489,-15.145688,6.820254581139225,-15.79646895581677,1.4193835,3.2495413
5.307865,-13.882387,6.797073580444094,-14.67386153284954,1.7306405,5.6602817
4.899467,-12.730167,6.303120190426116,-13.36885165583602,1.5536244,6.5729027
4.554155,-11.910113,5.797955263081186,-12.22894141733481,1.3748616,7.1448345
4.499931,-11.72526,5.787221955169205,-11.5201348519943,1.3329866,7.23742
4.495157,-11.723344,5.82096852184821,-11.35517223577119,1.3451977,6.969041
4.496431,-11.724829,5.820600396502281,-11.36937998923384,1.3423411,6.7724876
4.492271,-11.734857,5.819828699086036,-11.36451128948544,1.3356005,6.8798447
4.488358,-11.71783,5.812420267883605,-11.36027682488095,1.344739,6.9745183
4.457798,-11.417985,5.785167296141187,-11.3031719283646,1.3572493,7.4957733
4.161989,-10.390708,5.451787748911043,-10.86999578589837,1.3558947,6.8935556
3.855386,-9.070425,5.276574899021007,-9.925120602589676,1.4878538,6.421054
3.483721,-7.741605,4.960746208845142,-8.8312020179083,1.720469,6.185638
3.060268,-6.385078,4.27402950328625,-7.709675694803319,1.8412948,5.169666
