Time (s),X (rad/s),Y (rad/s),Z (rad/s)
341987.007801587,-0.164017,0.161453,0.004669
341987.012745435,-0.158691,0.163589,0.001465
341987.017689283,-0.153366,0.163589,0.001465
341987.022602613,-0.149094,0.163589,-0.002792
341987.02754646,-0.142715,0.162521,-0.008118
341987.032490308,-0.137375,0.162521,-0.010254
341987.037434156,-0.13205,0.161453,-0.014511
341987.042378003,-0.122467,0.162521,-0.018768
341987.047291333,-0.117142,0.162521,-0.02623
341987.052235181,-0.110748,0.163589,-0.032623
341987.057179029,-0.102234,0.162521,-0.039017
341987.062122876,-0.09903,0.160385,-0.046463
341987.067036206,-0.096909,0.161453,-0.052856
341987.072010572,-0.09584,0.161453,-0.060318
341987.076954419,-0.096909,0.160385,-0.063507
341987.081898267,-0.09903,0.160385,-0.065643
341987.086842115,-0.106491,0.161453,-0.072037
341987.091785962,-0.112885,0.164642,-0.076294
341987.09672981,-0.119278,0.17424,-0.07843
341987.10164314,-0.125671,0.179565,-0.081619
341987.106586988,-0.135254,0.189148,-0.084824
341987.111530835,-0.142715,0.206192,-0.088013
341987.116474683,-0.15123,0.222168,-0.091202
341987.121418531,-0.16188,0.243484,-0.09227
341987.126331861,-0.173599,0.270111,-0.090149
341987.131275708,-0.18425,0.304199,-0.090149
341987.136219556,-0.19278,0.341476,-0.084824
341987.141163404,-0.200226,0.380905,-0.080551
341987.146107251,-0.206619,0.42244,-0.076294
341987.151020581,-0.211945,0.465057,-0.069901
341987.155964429,-0.223663,0.508728,-0.061386
341987.160908277,-0.233261,0.552399,-0.050735
341987.165852124,-0.249237,0.589691,-0.041138
341987.170795972,-0.265213,0.617386,-0.029419
341987.17573982,-0.282257,0.641891,-0.018768
341987.18065315,-0.302505,0.658936,-0.010254
341987.185596997,-0.322739,0.664261,0.0046689999999999
341987.190540845,-0.350433,0.660004,0.023834
341987.195484693,-0.387726,0.652542,0.040878
341987.20042854,-0.42926,0.632294,0.052597
341987.205372388,-0.472946,0.603546,0.055801
341987.210285718,-0.515549,0.570511,0.050476
341987.215229566,-0.550705,0.534302,0.040878
341987.220173413,-0.574142,0.501266,0.024902
341987.225117261,-0.581604,0.475708,0.00679
341987.230030591,-0.5784,0.454407,-0.012375
341987.234974439,-0.55603,0.417114,-0.0443419999999999
341987.239918286,-0.515549,0.380905,-0.080551
