Time (s),X (µT),Y (µT),Z (µT)
342015.016632116,-6.689453,-41.610718,6.809998
342015.021575964,-6.689453,-41.610718,6.809998
342015.026519811,-6.689453,-41.610718,6.809998
342015.031433141,-6.72504106222466,-41.61057648552421,6.826518493565849
342015.036376989,-7.109392725100992,-41.60904812683626,7.004940098358141
342015.041320837,-7.4937443879773245,-41.60751976814832,7.1833617031504335
342015.046264684,-7.878095973110234,-41.60599140976951,7.361783271853103
342015.051208532,-8.206045810578512,-41.55153023488062,7.469536568195018
342015.05615238,-8.019328659104174,-41.01405680048958,6.932441133832028
342015.06106571,-7.833764098491991,-40.47990114898157,6.398661148986477
342015.066009557,-7.647046984785226,-39.942427823306126,5.861565823262635
342015.070953405,-7.449295832660263,-39.45486063580584,5.374504442200873
342015.075897253,-7.063966508780277,-39.81570037226143,5.738022695934257
342015.080810583,-6.681015793689674,-40.17431267229965,6.099296978965581
342015.08575443,-6.295686547750865,-40.53515233576761,6.462815159169549
342015.09066776,-5.934314126043032,-40.873397140421645,6.823937195617152
342015.095611608,-5.937394397309808,-40.8676216633385,7.184715008626304
342015.100555456,-5.940474668576585,-40.86184618625536,7.545492821635455
342015.105499303,-5.94355493922031,-40.856070710340425,7.906270561669505
342015.110412633,-5.896768363671697,-40.83530277222008,8.202654461091111
342015.115356481,-5.32303783465935,-40.65563051313443,7.844072692958385
342015.120300329,-4.749307305647003,-40.475958254048784,7.485490924825658
342015.125244176,-4.175576892684044,-40.296286031305726,7.126909229223838
342015.130188024,-3.7007256286390495,-40.14788337175669,6.814795451817278
342015.135131872,-4.271169782011841,-40.33004515472142,6.993914874604024
342015.140045202,-4.838092626745564,-40.511082466769466,7.171928606733491
342015.145019567,-5.412057973372774,-40.69436868380473,7.352153683946745
342015.149963415,-5.89862708278393,-40.86309223982924,7.505135151460864
342015.154907262,-5.336758370842134,-40.86383797729776,7.331392248897428
342015.15985111,-4.774889545250236,-40.86458371491711,7.157649311190731
342015.164794958,-4.213020719658339,-40.865329452536464,6.983906373484035
342015.169738805,-3.651152007716543,-40.866075190004985,6.810163470920599
342015.174682653,-4.010550643376034,-40.86461849091736,6.978614203580579
342015.179626501,-4.387331734117078,-40.86312023630028,7.15352143921556
342015.184539831,-4.761786983665748,-40.861631230295686,7.327348985706152
342015.189483678,-5.138567998194682,-40.86013297598166,7.502256185962367
342015.194427526,-5.175781,-40.859985,7.519531
342015.199340856,-5.175781,-40.859985,7.519531
342015.204284704,-5.175781,-40.859985,7.519531
342015.209228551,-5.175781,-40.859985,7.519531
342015.214141882,-5.021363908250197,-40.70900641435409,7.518280764506875
342015.219085729,-4.836063465616274,-40.52783217754254,7.516780482461363
342015.224029577,-4.650762985501329,-40.34665790408458,7.515280200112386
342015.228973425,-4.465462505386383,-40.16548363062663,7.513779917763409
342015.233917272,-4.856317735523421,-40.11753901785032,7.915640436599631
342015.23886112,-5.423736753560616,-40.11042279932828,8.441111516267673
342015.24377445,-5.987653136890502,-40.10335050868526,8.963338902681127
342015.248718298,-6.5550721549276965,-40.09623429016322,9.488809982349167
342015.253662145,-6.736013640741735,-39.84917376319421,9.531312590725204
342015.258605993,-6.73938446817562,-39.49186850974794,9.351910836693524
342015.263549841,-6.742755295609505,-39.13456325630166,9.172509082661843
342015.268493688,-6.746126122361567,-38.77725807512809,8.993107364918043
342015.273437536,-6.742086009869775,-39.03448360886097,8.927661875752849
342015.278381383,-6.733329844685168,-39.68277420577961,8.934734035685558
342015.283325231,-6.724573677729438,-40.33106493382904,8.941806197048763
342015.288238561,-6.71587156193045,-40.97535381221833,8.948834702494457
342015.293182409,-6.722543430005031,-41.52131782194914,8.928073795086817
342015.298095739,-6.920834078911305,-40.7927234856986,8.561675364192924
342015.303039587,-7.12035636380037,-40.05960365615662,8.19300113515113
342015.307983434,-7.319878608331745,-39.32648397490394,7.824326980681659
342015.312927282,-7.499431271731632,-38.71923327061327,7.545640282904661
342015.31787113,-7.496761021461574,-39.260539075358665,8.08809033776578
342015.322814977,-7.494090771731632,-39.80184477061327,8.630540282904661
342015.327728307,-7.491437004714648,-40.33980913554311,9.16964183458076
342015.332672155,-7.559978030942716,-40.81450882585681,9.644990706566157
342015.337616003,-8.326389069049874,-40.636469060350095,9.462748455440408
342015.34255985,-9.092799952133852,-40.45842933085576,9.28050624117709
342015.34747318,-9.854479992835556,-40.28148859136354,9.099388957691902
342015.352417028,-10.514929749978956,-40.13610272726201,8.967058409157483
342015.357360876,-10.13695969440002,-40.31072486866425,9.323862197110245
342015.362304723,-9.758989715273689,-40.4853469747454,9.680665912891731
342015.367248571,-9.381019659694749,-40.65996911614764,10.037469700844492
342015.372161901,-9.024010027935969,-40.81606219184772,10.35654859016263
342015.377105749,-9.02324109476694,-40.63729933891423,9.994025322585005
342015.382049596,-9.022472161753448,-40.45853652213937,9.63150212833554
342015.386962926,-9.021707975150749,-40.2808771587844,9.271216689485646
342015.391906774,-9.063261921191051,-40.10218476466465,8.922179181809629
342015.396850622,-9.633851799563171,-39.92437310562051,8.741713654491143
342015.401763952,-10.200919469746818,-39.74765906450692,8.56236212723146
342015.406738317,-10.775031440893288,-39.568749823498486,8.380782636357221
342015.411651647,-11.300919057306151,-39.41541607055956,8.201810629506728
342015.416595495,-10.918484558740449,-39.77869123705262,8.030128291338885
342015.421539342,-10.53605013753038,-40.14196633006543,7.858445987897503
342015.426452673,-10.155976300860578,-40.50299909989584,7.687823397099295
342015.43139652,-9.77354187965051,-40.86627419290865,7.516141093657913
342015.436340368,-9.945736361993353,-41.04849254256318,7.684785541073796
342015.441284216,-10.131972164440484,-41.22612714919345,7.862045905617947
342015.446228063,-10.3182079292174,-41.40376171989328,8.039306234307363
342015.451171911,-10.504443731664532,-41.58139632652355,8.216566598851514
342015.456085241,-10.69275282068334,-41.28467636928347,8.076329720859329
342015.461029089,-10.882614392954348,-40.92989561487607,7.89763663423574
342015.465972936,-11.072475926821753,-40.57511493223074,7.718943583756685
342015.470916784,-11.26233749909276,-40.22033417782335,7.540250497133096
342015.475860632,-11.157913333235822,-40.138498144752695,7.917564658262516
342015.480804479,-10.975319529225048,-40.12916307919446,8.442568187311647
342015.485748327,-10.792725688280727,-40.11982801174802,8.967571822554097
342015.490661657,-10.611258985314342,-40.11055056896728,9.489334650041064
342015.495605505,-10.422039234109096,-40.11141235332928,9.401736404893908
342015.500549352,-10.229946340623504,-40.11669577849543,9.048496817887068
342015.505462682,-10.03903918343406,-40.12194659053948,8.69743768114025
342015.51040653,-9.846946251093526,-40.12723001677431,8.34419802268306
342015.515350378,-9.99493496790188,-40.33706755267973,8.323465048663987
342015.520294225,-10.327539357699612,-40.65794867591987,8.483235659163698
342015.525238073,-10.660143814773775,-40.97882986406516,8.64300630198047
