Time (s),X (rad/s),Y (rad/s),Z (rad/s)
87246.004039531,-0.003098,-0.009918,0.004898
87246.008983379,-0.007355,-0.012054,0.002762
87246.013927227,-0.010559,-0.015244,0.001694
87246.018871074,-0.010559,-0.015244,-0.001495
87246.023814922,-0.008423,-0.016312,-0.0047
87246.02875877,9.200000000000008e-05,-0.01738,-0.0047
87246.033702617,0.004364,-0.015244,-0.0047
87246.038615948,0.008621,-0.013107,-0.0014949999999999
87246.043559795,0.01181,-0.013107,0.001694
87246.048503643,0.01181,-0.013107,0.00383
87246.05344749,0.012878,-0.013107,0.007019
87246.058391338,0.010757,-0.015244,0.009155
87246.063335186,0.009689,-0.016312,0.011292
87246.068248516,0.007553,-0.016312,0.012344
87246.073192364,0.004364,-0.01738,0.015549
87246.078136211,9.200000000000008e-05,-0.018433,0.016617
87246.083080059,-0.000961,-0.019501,0.018738
87246.088023906,-0.002029,-0.020569,0.020874
87246.092937237,-0.003098,-0.019501,0.019806
87246.097881084,-0.002029,-0.01738,0.019806
87246.102824932,9.200000000000008e-05,-0.01738,0.018738
87246.10776878,0.004364,-0.01738,0.016617
87246.112712627,0.008621,-0.015244,0.014481
87246.117656475,0.01181,-0.014175,0.011292
87246.122569805,0.012878,-0.012054,0.011292
87246.127513653,0.013947,-0.014175,0.008087
87246.1324575,0.015015,-0.015244,0.007019
87246.137401348,0.01181,-0.016312,0.005966
87246.142314678,0.007553,-0.014175,0.00383
87246.147258526,0.006485,-0.013107,0.004898
87246.152202373,0.002228,-0.010986,0.001694
87246.157146221,-0.002029,-0.009918,0.002762
87246.162090069,-0.002029,-0.005661,0.002762
87246.167033916,-0.004166,-0.003525,0.00383
87246.171947246,-0.006287,-0.001389,0.002762
87246.176891094,-0.007355,-0.002457,0.001694
87246.181834942,-0.006287,-0.003525,0.002762
87246.186778789,-0.007355,-0.005661,0.00383
87246.191692119,-0.007355,-0.00885,0.002762
87246.196666485,-0.005234,-0.00885,0.002762
87246.201610332,-0.005234,-0.013107,0.00383
87246.206523662,-0.0020289999999999,-0.014175,0.005966
87246.21146751,0.002228,-0.014175,0.008087
87246.216411358,0.005432,-0.01738,0.005966
87246.221355205,0.006485,-0.018433,0.007019
87246.226268535,0.008621,-0.018433,0.007019
87246.231212383,0.009689,-0.019501,0.004898
87246.236156231,0.008621,-0.019501,0.005966
87246.241100078,0.006485,-0.018433,0.005966
87246.246013408,0.004364,-0.018433,0.004898
87246.250957256,0.00116,-0.020569,0.002762
87246.255901104,-0.0020289999999999,-0.020569,0.005966
87246.260844951,-0.007355,-0.020569,0.008087
87246.265788799,-0.013748,-0.021637,0.007019
87246.270732647,-0.015884,-0.023758,0.005966
87246.275645977,-0.016953,-0.024826,0.002762
87246.280589824,-0.016953,-0.024826,0.000626
87246.285533672,-0.015884,-0.020569,-0.000427
87246.29047752,-0.011627,-0.01738,-0.003632
87246.295421367,-0.006287,-0.015244,-0.003632
